School,Level,Category,FRL,White,BIPOC,Tot pop OSPI,%BIPOC,%FRL,Capacity,%Capacity used,Tot pop Jan 2021,Gen pop,ELL,SpEd,%ELL,%Sped,Equity Tier,Students elegible for busing,%student pop. eleigle for busing,FRL students elegible for busing,Transportation area linked school area,ZIP code,SPS Board District
Louisa Boren STEM K-8,K-8,Option,193,251,294,545,53.94495413,35.41284404,576,95,546,401,61,93,11.2,17,4,238,43.58974359,50,Madison MS + Denny Int. MS,98106,5
Pathfinder K-8,K-8,Option,53,337,155,492,31.50406504,10.77235772,460,107,490,390,6,98,1.2,20,4,307,62.65306122,32,Madison MS + Denny Int. MS,98106,5
Orca K-8,K-8,Option,155,183,241,424,56.83962264,36.55660377,456,93,423,352,43,36,10.2,8.5,4,99,23.40425532,41,Mercer Int MS + Hawthorne Elementary + Kimball Elementary,98118,7
South Shore K8,K-8,Option,388,68,534,602,88.70431894,64.45182724,706,87,611,414,121,87,19.8,14.2,2,236,38.62520458,140,Aki Kurose MS - Hawthorne elementary,98118,7
John Stanford International School,Elementary,Option,29,201,260,461,56.39913232,6.290672451,437,104,455,346,73,39,16,8.6,4,82,18.02197802,10,Hamilton Int. MS,98105,2
TOPS K-8,K-8,Option,131,214,271,485,55.87628866,27.01030928,446,110,490,389,49,63,10,12.9,4,284,57.95918367,74,"Elementary attendance areas of: Montlake, McGilvra, Stevens, Lowell(but not past I5), Madrona, Gatzert, Leschi, Thurgood Marshall, John Muir and Hawthorn",98102,3
Thornton Creek Elementary,Elementary,Option,43,391,182,573,31.76265271,7.504363002,586,99,580,472,22,93,3.8,16,4,217,37.4137931,17,Eckstein MS + Olympic View Elementary,98115,3
Hazel Wolf K-8,K-8,Option,140,432,315,747,42.1686747,18.7416332,658,113,744,593,76,87,10.2,11.7,4,309,41.53225806,59,Jane Addams MS + Eckstein MS + Olympic View Elementary,98125,1
Cedar Park,Elementary,Option,41,113,110,223,49.32735426,18.38565022,290,78,225,191,22,13,9.8,5.8,4,71,31.55555556,15,Jane Addams MS,98125,1
Licton Springs K-8,K-8,Option,80,52,80,132,60.60606061,60.60606061,167,81,135,82,30,30,22.2,22.2,4,85,62.96296296,47,Jane Adams MS + Eckstein MS + Robert Eagle Staff MS,98103,2
Salmon Bay K-8,K-8,Option,62,487,174,661,26.32375189,9.379727685,685,96,661,504,19,142,2.9,21.5,4,186,28.13918306,14,Hamilton Int. MS + Whitman MS + Robert Eaglestaff MS,98117,4
McDonald International School,Elementary,Option,10,254,219,473,46.30021142,2.114164905,471,100,470,368,79,28,16.8,6,4,49,10.42553191,10,Hamilton Int. MS,98105,2
Queen Anne Elementary,Elementary,Option,18,162,66,228,28.94736842,7.894736842,500,44,222,188,9,26,4.1,11.7,4,66,29.72972973,10,McClure Middle School,98109,4
