school,Tot_population,Per_ESL,mean_Median_house_income,Per_POC,transportation_area_sqmiles,tot_enrolled_K_8,region,tot_lang,Per_enrolled_K_8,Per_other_language
Queen Anne Elementary,109613,2.218714933447675,97703.35294117648,24.88938355851952,9.216825179835551,6422,Central Seattle,20574,5.858794121135267,18.769671480572562
Orca K-8,104148,22.036909014095325,63064.86363636364,64.04731727925645,12.939718990434738,10491,Central Seattle,34243,10.073165111187924,32.87917194761301
TOPS K-8,219453,8.162567839127284,79444.47619047618,39.81080231302375,14.524441801399488,10659,Central Seattle,51486,4.857076458284918,23.461059999179778
John Stanford International School,72617,1.8521833730393709,98705.5,17.694203836567198,3.525236623359284,4851,North Seattle,7656,6.680253935028987,10.542985802222619
McDonald International School,72617,1.8521833730393709,98705.5,17.694203836567198,3.525236623359284,4851,North Seattle,7656,6.680253935028987,10.542985802222619
Cedar Park,86481,9.208959193348829,86557.5,32.35739642233554,6.350009403349897,6718,North Seattle,17911,7.768180293937396,20.710907598200762
Thornton Creek Elementary,125838,7.793353359080722,86853.15384615384,30.671975079069913,10.02997310428791,10859,North Seattle,26761,8.629348845340836,21.266231186128195
Hazel Wolf K-8,145059,8.09187985578282,85266.66666666667,31.767074087095597,14.824454125699477,12519,North Seattle,31115,8.63028147167704,21.44989280223909
Salmon Bay K-8,197112,4.431490726084662,88842.35135135135,24.05130078331101,14.898395875054609,13847,North Seattle,26901,7.024940135557449,13.647570924144647
Licton Springs K-8,221487,7.091612600288053,85684.04347826086,30.212156921173705,20.69274675952455,17973,North Seattle,42373,8.114697476601336,19.13114539453783
South Shore K8,85434,22.383360254699532,64053.333333333336,73.00021068895288,7.193088676717732,10727,South Seattle,32778,12.555891097221247,38.36645831870216
Louisa Boren STEM K-8,120331,8.991864108168302,75565.44,37.55142066466663,18.23841916899588,12501,West Seattle,20307,10.388844105010346,16.87595050319535
Pathfinder K-8,120331,8.991864108168302,75565.44,37.55142066466663,18.23841916899588,12501,West Seattle,20307,10.388844105010346,16.87595050319535
